Lat+Long,CFLL,Addr,CFAM,address_id,CF Zone,Latitude,Longitude,Street_Number,Street_Name,County,City,Country_Code,Zip_Code,State,FDAName,FDHName,Conduit Placed Date,Construction Complete (forecasted date),Construction Complete Date,Ready for Service Date,Locate_Group,Address,Uploaded to Sales Rabbit
32.692537-97.189907,6884,5510 MARSHFIELD CT,6884,6884,Arlington - 1.01,32.692537,-97.189907,5510,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5510 MARSHFIELD CT,
32.692522-97.189543,7198,5508 MARSHFIELD CT,7198,7198,Arlington - 1.01,32.692522,-97.189543,5508,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5508 MARSHFIELD CT,
32.692547-97.189281,6891,5506 MARSHFIELD CT,6891,6891,Arlington - 1.01,32.692547,-97.189281,5506,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5506 MARSHFIELD CT,
32.692544-97.189044,7155,5504 MARSHFIELD CT,7155,7155,Arlington - 1.01,32.692544,-97.189044,5504,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5504 MARSHFIELD CT,
32.692541-97.188807,6963,5500 MARSHFIELD CT,6963,6963,Arlington - 1.01,32.692541,-97.188807,5500,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5500 MARSHFIELD CT,
32.692538-97.188569,7063,5410 MARSHFIELD CT,7063,7063,Arlington - 1.01,32.692538,-97.188569,5410,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5410 MARSHFIELD CT,
32.692535-97.18833,7243,5408 MARSHFIELD CT,7243,7243,Arlington - 1.01,32.692535,-97.18833,5408,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5408 MARSHFIELD CT,
32.692532-97.18809,6955,5406 MARSHFIELD CT,6955,6955,Arlington - 1.01,32.692532,-97.18809,5406,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5406 MARSHFIELD CT,
32.692529-97.187849,7011,5404 MARSHFIELD CT,7011,7011,Arlington - 1.01,32.692529,-97.187849,5404,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5404 MARSHFIELD CT,
32.692526-97.187609,7145,5400 MARSHFIELD CT,7145,7145,Arlington - 1.01,32.692526,-97.187609,5400,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5400 MARSHFIELD CT,
32.692523-97.187368,6971,5308 MARSHFIELD CT,6971,6971,Arlington - 1.01,32.692523,-97.187368,5308,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5308 MARSHFIELD CT,
32.69252-97.187128,7029,5306 MARSHFIELD CT,7029,7029,Arlington - 1.01,32.69252,-97.187128,5306,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5306 MARSHFIELD CT,
32.692518-97.186887,7044,5304 MARSHFIELD CT,7044,7044,Arlington - 1.01,32.692518,-97.186887,5304,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5304 MARSHFIELD CT,
32.692514-97.186637,7004,5300 MARSHFIELD CT,7004,7004,Arlington - 1.01,32.692514,-97.186637,5300,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5300 MARSHFIELD CT,
32.692518-97.186214,7042,5216 MARSHFIELD CT,7042,7042,Arlington - 1.01,32.692518,-97.186214,5216,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5216 MARSHFIELD CT,
32.692515-97.185962,6947,5214 MARSHFIELD CT,6947,6947,Arlington - 1.01,32.692515,-97.185962,5214,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5214 MARSHFIELD CT,
32.692513-97.185718,6943,5212 MARSHFIELD CT,6943,6943,Arlington - 1.01,32.692513,-97.185718,5212,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5212 MARSHFIELD CT,
32.69251-97.185475,7046,5210 MARSHFIELD CT,7046,7046,Arlington - 1.01,32.69251,-97.185475,5210,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5210 MARSHFIELD CT,
32.692508-97.185231,6952,5208 MARSHFIELD CT,6952,6952,Arlington - 1.01,32.692508,-97.185231,5208,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5208 MARSHFIELD CT,
32.69251-97.184854,6956,5204 MARSHFIELD CT,6956,6956,Arlington - 1.01,32.69251,-97.184854,5204,MARSHFIELD CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5204 MARSHFIELD CT,
32.692234-97.18493,7114,5201 PINEGLEN CT,7114,7114,Arlington - 1.01,32.692234,-97.18493,5201,PINEGLEN CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5201 PINEGLEN CT,
32.69222-97.185195,7221,5203 PINEGLEN CT,7221,7221,Arlington - 1.01,32.69222,-97.185195,5203,PINEGLEN CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5203 PINEGLEN CT,
32.692223-97.185385,6996,5205 PINEGLEN CT,6996,6996,Arlington - 1.01,32.692223,-97.185385,5205,PINEGLEN CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5205 PINEGLEN CT,
32.692264-97.185615,7088,5207 PINEGLEN CT,7088,7088,Arlington - 1.01,32.692264,-97.185615,5207,PINEGLEN CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5207 PINEGLEN CT,
32.692272-97.186161,7014,3305 IVY HILL DR,7014,7014,Arlington - 1.01,32.692272,-97.186161,3305,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,3305 IVY HILL DR,
32.692195-97.185847,6897,5209 PINEGLEN CT,6897,6897,Arlington - 1.01,32.692195,-97.185847,5209,PINEGLEN CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5209 PINEGLEN CT,
32.692231-97.189287,7058,5505 IVY HILL DR,7058,7058,Arlington - 1.01,32.692231,-97.189287,5505,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5505 IVY HILL DR,
32.692232-97.189518,6892,5507 IVY HILL DR,6892,6892,Arlington - 1.01,32.692232,-97.189518,5507,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5507 IVY HILL DR,
32.692228-97.189049,7097,5503 IVY HILL DR,7097,7097,Arlington - 1.01,32.692228,-97.189049,5503,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5503 IVY HILL DR,
32.692225-97.188812,6959,5501 IVY HILL DR,6959,6959,Arlington - 1.01,32.692225,-97.188812,5501,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5501 IVY HILL DR,
32.692222-97.188575,7055,5409 IVY HILL DR,7055,7055,Arlington - 1.01,32.692222,-97.188575,5409,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5409 IVY HILL DR,
32.692219-97.188336,7199,5407 IVY HILL DR,7199,7199,Arlington - 1.01,32.692219,-97.188336,5407,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5407 IVY HILL DR,
32.692216-97.188095,6885,5405 IVY HILL DR,6885,6885,Arlington - 1.01,32.692216,-97.188095,5405,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5405 IVY HILL DR,
32.692213-97.187855,6939,5403 IVY HILL DR,6939,6939,Arlington - 1.01,32.692213,-97.187855,5403,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5403 IVY HILL DR,
32.69221-97.187614,114716,5401 IVY HILL DR,114716,114716,Arlington - 1.01,32.69221,-97.187614,5401,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5401 IVY HILL DR,
32.692207-97.187374,7012,5309 IVY HILL DR,7012,7012,Arlington - 1.01,32.692207,-97.187374,5309,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5309 IVY HILL DR,
32.692204-97.187133,7156,5307 IVY HILL DR,7156,7156,Arlington - 1.01,32.692204,-97.187133,5307,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5307 IVY HILL DR,
32.692201-97.186893,7050,5305 IVY HILL DR,7050,7050,Arlington - 1.01,32.692201,-97.186893,5305,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5305 IVY HILL DR,
32.6922-97.186644,6934,5301 IVY HILL DR,6934,6934,Arlington - 1.01,32.6922,-97.186644,5301,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5301 IVY HILL DR,
32.69223-97.189746,7196,5509 IVY HILL DR,7196,7196,Arlington - 1.01,32.69223,-97.189746,5509,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5509 IVY HILL DR,
32.692229-97.189999,7033,5511 IVY HILL DR,7033,7033,Arlington - 1.01,32.692229,-97.189999,5511,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5511 IVY HILL DR,
32.692064-97.186146,7206,3307 IVY HILL DR,7206,7206,Arlington - 1.01,32.692064,-97.186146,3307,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,3307 IVY HILL DR,
32.691897-97.185862,6810,5208 PINEGLEN CT,6810,6810,Arlington - 1.01,32.691897,-97.185862,5208,PINEGLEN CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5208 PINEGLEN CT,
32.691852-97.185201,6858,5202 PINEGLEN CT,6858,6858,Arlington - 1.01,32.691852,-97.185201,5202,PINEGLEN CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5202 PINEGLEN CT,
32.691831-97.185412,7208,5204 PINEGLEN CT,7208,7208,Arlington - 1.01,32.691831,-97.185412,5204,PINEGLEN CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5204 PINEGLEN CT,
32.69179-97.185664,7167,5206 PINEGLEN CT,7167,7167,Arlington - 1.01,32.69179,-97.185664,5206,PINEGLEN CT,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5206 PINEGLEN CT,
32.6918-97.186153,6887,3309 IVY HILL DR,6887,6887,Arlington - 1.01,32.6918,-97.186153,3309,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,3309 IVY HILL DR,
32.69172-97.18641,7148,5300 IVY HILL DR,7148,7148,Arlington - 1.01,32.69172,-97.18641,5300,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5300 IVY HILL DR,
32.69175-97.186692,6966,5302 IVY HILL DR,6966,6966,Arlington - 1.01,32.69175,-97.186692,5302,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5302 IVY HILL DR,
32.69175-97.186936,7006,5304 IVY HILL DR,7006,7006,Arlington - 1.01,32.69175,-97.186936,5304,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5304 IVY HILL DR,
32.691752-97.187173,7031,5306 IVY HILL DR,7031,7031,Arlington - 1.01,32.691752,-97.187173,5306,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5306 IVY HILL DR,
32.691754-97.18741,6960,5308 IVY HILL DR,6960,6960,Arlington - 1.01,32.691754,-97.18741,5308,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5308 IVY HILL DR,
32.691756-97.187648,7045,5400 IVY HILL DR,7045,7045,Arlington - 1.01,32.691756,-97.187648,5400,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5400 IVY HILL DR,
32.691759-97.187885,7099,5404 IVY HILL DR,7099,7099,Arlington - 1.01,32.691759,-97.187885,5404,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5404 IVY HILL DR,
32.691761-97.188122,6972,5406 IVY HILL DR,6972,6972,Arlington - 1.01,32.691761,-97.188122,5406,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5406 IVY HILL DR,
32.691763-97.18836,7023,5408 IVY HILL DR,7023,7023,Arlington - 1.01,32.691763,-97.18836,5408,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5408 IVY HILL DR,
32.691765-97.188597,6936,5410 IVY HILL DR,6936,6936,Arlington - 1.01,32.691765,-97.188597,5410,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5410 IVY HILL DR,
32.691768-97.188834,7203,5500 IVY HILL DR,7203,7203,Arlington - 1.01,32.691768,-97.188834,5500,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5500 IVY HILL DR,
32.69177-97.189067,7052,5504 IVY HILL DR,7052,7052,Arlington - 1.01,32.69177,-97.189067,5504,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5504 IVY HILL DR,
32.691772-97.189294,7043,5506 IVY HILL DR,7043,7043,Arlington - 1.01,32.691772,-97.189294,5506,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5506 IVY HILL DR,
32.691774-97.189522,7157,5508 IVY HILL DR,7157,7157,Arlington - 1.01,32.691774,-97.189522,5508,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5508 IVY HILL DR,
32.691776-97.189749,6883,5510 IVY HILL DR,6883,6883,Arlington - 1.01,32.691776,-97.189749,5510,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5510 IVY HILL DR,
32.691779-97.190003,6946,5512 IVY HILL DR,6946,6946,Arlington - 1.01,32.691779,-97.190003,5512,IVY HILL DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,5512 IVY HILL DR,
32.691487-97.185909,7027,3404 LITTLE RD,7027,7027,Arlington - 1.01,32.691487,-97.185909,3404,LITTLE RD,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:004,,,#N/A,,,3404 LITTLE RD,
32.69379-97.189738,6933,5509 ATLANTIS TER,6933,6933,Arlington - 1.01,32.69379,-97.189738,5509,ATLANTIS TER,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5509 ATLANTIS TER,
32.693791-97.189507,7001,5507 ATLANTIS TER,7001,7001,Arlington - 1.01,32.693791,-97.189507,5507,ATLANTIS TER,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5507 ATLANTIS TER,
32.693789-97.189273,7153,5505 ATLANTIS TER,7153,7153,Arlington - 1.01,32.693789,-97.189273,5505,ATLANTIS TER,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5505 ATLANTIS TER,
32.693786-97.189039,7008,5503 ATLANTIS TER,7008,7008,Arlington - 1.01,32.693786,-97.189039,5503,ATLANTIS TER,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5503 ATLANTIS TER,
32.693783-97.188804,7054,5501 ATLANTIS TER,7054,7054,Arlington - 1.01,32.693783,-97.188804,5501,ATLANTIS TER,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5501 ATLANTIS TER,
32.69378-97.188574,7061,5409 ATLANTIS TER,7061,7061,Arlington - 1.01,32.69378,-97.188574,5409,ATLANTIS TER,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5409 ATLANTIS TER,
32.693778-97.188346,7143,5407 ATLANTIS TER,7143,7143,Arlington - 1.01,32.693778,-97.188346,5407,ATLANTIS TER,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5407 ATLANTIS TER,
32.693775-97.188119,6961,5405 ATLANTIS TER,6961,6961,Arlington - 1.01,32.693775,-97.188119,5405,ATLANTIS TER,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5405 ATLANTIS TER,
32.693772-97.187891,7141,5403 ATLANTIS TER,7141,7141,Arlington - 1.01,32.693772,-97.187891,5403,ATLANTIS TER,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5403 ATLANTIS TER,
32.693769-97.187664,6954,5401 ATLANTIS TER,6954,6954,Arlington - 1.01,32.693769,-97.187664,5401,ATLANTIS TER,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5401 ATLANTIS TER,
32.693766-97.187436,6950,5309 ATLANTIS TER,6950,6950,Arlington - 1.01,32.693766,-97.187436,5309,ATLANTIS TER,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5309 ATLANTIS TER,
